Nº Ordem Compra;Seq.;Cód Serviço;DESCRIÇÃO PRODUTO OU SERVIÇO;Categoria do Serviço;Complemento da Descrição;Quantidade Pedida;U.M. O.C.;Valor do Rateio;Fornecedor;Fantasia Fornecedor;Projeto;Descr. Projeto;Fase;Descr. Fase;Conta Financeira;Conta Contábil;Usuário Comprador;Setor;Emissão;Consta na base de NF;Lançamentos NF na base (OC+item);Valor Rateio total (OC+item);Valor NF na base (OC+item);Diferença NF - Rateio (OC+item)
33271;1;0046;PASSAGENS;PASSAGENS;PASSAGENS - PEDRO DUQUE;1,0;SV;1279,58;16161604;CTS VIAGENS;10050;FORTES - ARAUCO;1;Hélice Contínua;2640;3069;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-11 00:00:00;Sim;5;5355,63;5355,63;0,0
33271;2;0046;PASSAGENS;PASSAGENS;PASSAGENS - DENIS ANDRADE;1,0;SV;1098,77;16161604;CTS VIAGENS;10050;FORTES - ARAUCO;1;Hélice Contínua;2640;3069;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-11 00:00:00;Sim;5;5355,63;5355,63;0,0
33271;3;0046;PASSAGENS;PASSAGENS;PASSAGENS - DENIS ANDRADE;1,0;SV;1431,18;16161604;CTS VIAGENS;10050;FORTES - ARAUCO;1;Hélice Contínua;2640;3069;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-11 00:00:00;Sim;5;5355,63;5355,63;0,0
33271;4;0006;LOCAÇÃO DE VEÍCULO;LOCAÇÃO DE VEÍCULO;LOCAÇÃO DE VEÍCULO - DENIS ANDRADE;1,0;LOC;425,7;16161604;CTS VIAGENS;10050;FORTES - ARAUCO;1;Hélice Contínua;2160;3058;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-11 00:00:00;Sim;1;425,7;425,7;0,0
33271;5;0322;HOSPEDAGEM SINGLE;HOSPEDAGEM SINGLE;HOSPEDAGEM SINGLE - DENIS ANDRADE;3,0;SV;840,0;16161604;CTS VIAGENS;10050;FORTES - ARAUCO;1;Hélice Contínua;2650;3235;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-11 00:00:00;Sim;1;840,0;840,0;0,0
33271;6;0046;PASSAGENS;PASSAGENS;PASSAGENS - RUIMAR ROCHA;1,0;SV;1461,28;16161604;CTS VIAGENS;10050;FORTES - ARAUCO;1;Hélice Contínua;2640;3069;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-11 00:00:00;Sim;5;5355,63;5355,63;0,0
33271;7;0046;PASSAGENS;PASSAGENS;PASSAGENS - RUIMAR ROCHA;1,0;SV;84,82;16161604;CTS VIAGENS;10050;FORTES - ARAUCO;1;Hélice Contínua;2640;3069;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-11 00:00:00;Sim;5;5355,63;5355,63;0,0
33271;8;0042;TAXA ADMINISTRATIVA;TAXA ADMINISTRATIVA;TAXA ADMINISTRATIVA;1,0;SV;346,99;16161604;CTS VIAGENS;10050;FORTES - ARAUCO;1;Hélice Contínua;1354;3168;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-11 00:00:00;Sim;1;346,99;346,99;0,0
33272;1;0006;LOCAÇÃO DE VEÍCULO;LOCAÇÃO DE VEÍCULO;LOCAÇÃO DE VEÍCULO -  RENIVALDO FERREIRA;1,0;LOC;695,0;16161604;CTS VIAGENS;30030;CYRELA - COUPÉ TOWER;5;Hélice Contínua;2160;3058;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-11 00:00:00;Sim;1;695,0;695,0;0,0
33272;2;0046;PASSAGENS;PASSAGENS;PASSAGENS - RENIVALDO FERREIRA;1,0;SV;2233,37;16161604;CTS VIAGENS;30030;CYRELA - COUPÉ TOWER;5;Hélice Contínua;2640;3069;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-11 00:00:00;Sim;2;2503,59;2503,59;0,0
33272;3;0026;MULTAS E TAXAS;MULTAS E TAXAS;MULTAS E TAXAS -  MODIFICAÇÃO DE DATA E DESTINO;1,0;SV;822,74;16161604;CTS VIAGENS;30030;CYRELA - COUPÉ TOWER;5;Hélice Contínua;1354;3168;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-11 00:00:00;Sim;1;822,74;822,74;0,0
33272;4;0046;PASSAGENS;PASSAGENS;PASSAGENS - RENIVALDO FERREIRA;1,0;SV;270,22;16161604;CTS VIAGENS;30030;CYRELA - COUPÉ TOWER;5;Hélice Contínua;2640;3069;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-11 00:00:00;Sim;2;2503,59;2503,59;0,0
33272;5;0042;TAXA ADMINISTRATIVA;TAXA ADMINISTRATIVA;TAXA ADMINISTRATIVA;1,0;SV;206,68;16161604;CTS VIAGENS;30030;CYRELA - COUPÉ TOWER;5;Hélice Contínua;1354;3168;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-11 00:00:00;Sim;1;206,68;206,68;0,0
33280;1;0046;PASSAGENS;PASSAGENS;PASSAGENS - JOÃO DE DEUS GOMES;1,0;SV;99,06;16161604;CTS VIAGENS;30030;CYRELA - COUPÉ TOWER;6;Tirantes;2640;3069;Giovanna Rosa Matricula 3241 Geofix;Tirantes;2025-11-11 00:00:00;Sim;5;2900,92;2900,92;0,0
33280;2;0046;PASSAGENS;PASSAGENS;PASSAGENS  - JOÃO DE DEUS GOMES;1,0;SV;99,99;16161604;CTS VIAGENS;30030;CYRELA - COUPÉ TOWER;6;Tirantes;2640;3069;Giovanna Rosa Matricula 3241 Geofix;Tirantes;2025-11-11 00:00:00;Sim;5;2900,92;2900,92;0,0
33280;3;0046;PASSAGENS;PASSAGENS;PASSAGENS - JOSE ROGERIO RIBEIRO;1,0;SV;1569,26;16161604;CTS VIAGENS;10050;FORTES - ARAUCO;1;Hélice Contínua;2640;3069;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-11 00:00:00;Sim;5;2900,92;2900,92;0,0
33280;4;0046;PASSAGENS;PASSAGENS;PASSAGENS - THIAGO AMORIM;1,0;SV;420,0;16161604;CTS VIAGENS;10050;FORTES - ARAUCO;1;Hélice Contínua;2640;3069;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-11 00:00:00;Sim;5;2900,92;2900,92;0,0
33280;5;0046;PASSAGENS;PASSAGENS;PASSAGENS - - THIAGO AMORIM;1,0;SV;712,61;16161604;CTS VIAGENS;10050;FORTES - ARAUCO;1;Hélice Contínua;2640;3069;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-11 00:00:00;Sim;5;2900,92;2900,92;0,0
